S.NO ,CROP ,DISTRICT,MONTH
248,Black Gram,Villupuram,Mar
249,Black Gram,Kallakurichi,Mar
250,Black Gram,Vellore,"Jul, Aug"
251,Black Gram,Ranipet,"Jul, Aug"
252,Black Gram,Tirupathur,"Jul, Aug"
253,Black Gram,Tiruvannamalai,"Jul, Aug"
254,Black Gram,Salem,"Sep, Oct"
255,Black Gram,Namakkal,"Sep, Oct"
256,Black Gram,Dharmapuri,"Sep, Oct"
257,Black Gram,Krishnagiri,"Sep, Oct"
258,Black Gram,Coimbatore,"Jul, Aug"
259,Black Gram,Tiruppur,"Jul, Aug"
260,Black Gram,Erode,Jan
261,Black Gram,Tiruchirapalli,Jan
262,Black Gram,Karur,Jan
263,Black Gram,Perambalur,"Jul, Aug"
264,Black Gram,Ariyalur,"Jul, Aug"
265,Black Gram,Pudukottai,"Jun, Jul"
266,Black Gram,Thanjavur,"Jan, Feb"
267,Black Gram,Tiruvarur,Jan
268,Black Gram,Nagappattinam,"Jan, Feb"
269,Black Gram,Madurai,"Jun, Jul"
270,Black Gram,Theni,Jun
271,Black Gram,Dindugul,"Jul, Aug"
272,Black Gram,Ramanathapuram,Oct
273,Black Gram,Virudhunagar,Oct
274,Black Gram,Sivagangai,"Jul, Aug"
275,Black Gram,Tirunelveli,Feb
276,Black Gram,Tenkasi,Feb
277,Black Gram,Thoothukudi,Oct
278,Black Gram,Kanniyakumari,"Feb, Mar"
279,Green Gram,Kancheepuram,"Oct, Nov, Dec, Jan"
280,Green Gram,Chengalpattu,"Oct, Nov, Dec, Jan"
281,Green Gram,Tiruvallur,Jan
282,Green Gram,Cuddalore,"Jan, Feb"
283,Green Gram,Villupuram,"Aug, Sep"
284,Green Gram,Kallakurichi,"Aug, Sep"
285,Green Gram,Vellore,Oct
286,Green Gram,Ranipet,Oct
287,Green Gram,Tirupathur,Oct
288,Green Gram,Tiruvannamalai,Oct
289,Green Gram,Salem,"Jan, Feb"
290,Green Gram,Namakkal,"Jan, Feb"
291,Green Gram,Dharmapuri,"Jun, Jul"
292,Green Gram,Krishnagiri,"Jan, Feb"
293,Green Gram,Coimbatore,"Jun, Jul"
294,Green Gram,Tiruppur,"Jun, Jul"
295,Green Gram,Erode,Jan
296,Green Gram,Tiruchirapalli,Jan
297,Green Gram,Perambalur,"Aug, Sep"
298,Green Gram,Ariyalur,"Aug, Sep"
299,Green Gram,Pudukottai,"Jun, Jul"
300,Green Gram,Thanjavur,"Jan, Feb"
301,Green Gram,Tiruvarur,Jan
302,Green Gram,Nagappattinam,"Jan, Feb"
303,Green Gram,Madurai,"Jun, Jul"
304,Green Gram,Theni,Oct
305,Green Gram,Dindugul,"Sep, Oct"
306,Green Gram,Ramanathapuram,Oct
307,Green Gram,Virudhunagar,Oct
308,Green Gram,Sivagangai,"Jul, Aug"
309,Green Gram,Tirunelveli,"Sep, Oct"
310,Green Gram,Tenkasi,"Sep, Oct"
311,Green Gram,Thoothukudi,Oct
